ene, dsp, sxy, tpi,, emt, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
70,1.5,4,0.001,3.14,0.01256,9.72E+00,-1.89E-03,3.85E-06,3.85E-06,-1.89E-03,9.72E+00,9.68E+00,-1.62E-03,3.51E-06,1.14E-10,1.14E-10,3.51E-06,-1.62E-03,9.68E+00,
70,1.5,4,0.01,2.5,0.1,9.81E+00,-2.50E-03,4.07E-06,4.07E-06,-2.50E-03,9.81E+00,9.36E+00,2.24E-04,6.57E-07,1.14E-09,1.14E-09,6.57E-07,2.24E-04,9.36E+00,
70,1.5,4,0.01,3,0.12,1.01E+01,-2.00E-03,3.76E-06,3.76E-06,-2.00E-03,1.01E+01,9.96E+00,-1.10E-03,2.63E-06,3.74E-10,3.74E-10,2.63E-06,-1.10E-03,9.96E+00,
70,1.5,4,0.01,3.14,0.1256,9.71E+00,-1.69E-03,3.61E-06,3.61E-06,-1.69E-03,9.71E+00,9.80E+00,-2.21E-03,4.26E-06,-2.19E-10,2.19E-10,4.26E-06,-2.21E-03,9.80E+00,
70,1.5,4,0.1,2.5,1,9.73E+00,-1.92E-03,3.55E-06,3.55E-06,-1.92E-03,9.73E+00,9.68E+00,-1.59E-03,3.14E-06,1.37E-10,1.37E-10,3.14E-06,-1.59E-03,9.68E+00,
70,1.5,4,0.1,3,1.2,1.02E+01,-1.75E-03,3.82E-06,3.82E-06,-1.75E-03,1.02E+01,1.03E+01,-2.39E-03,4.62E-06,-2.69E-10,2.69E-10,4.62E-06,-2.39E-03,1.03E+01,
70,1.5,4,0.1,3.14,1.256,9.59E+00,-1.74E-03,3.77E-06,3.77E-06,-1.74E-03,9.59E+00,9.44E+00,-8.36E-04,2.64E-06,3.78E-10,3.78E-10,2.64E-06,-8.36E-04,9.44E+00,
70,1.5,5,0.001,2.5,0.0125,1.18E+01,-9.00E-04,2.86E-06,2.86E-06,-9.00E-04,1.18E+01,1.16E+01,5.93E-04,9.87E-07,6.24E-10,6.24E-10,9.87E-07,5.93E-04,1.16E+01,
70,1.5,5,0.001,3,0.015,1.24E+01,-1.41E-03,3.05E-06,3.05E-06,-1.41E-03,1.24E+01,1.23E+01,-7.32E-04,2.20E-06,2.84E-10,2.84E-10,2.20E-06,-7.32E-04,1.23E+01,
70,1.5,5,0.001,3.14,0.0157,1.17E+01,-1.77E-03,3.73E-06,3.73E-06,-1.77E-03,1.17E+01,1.15E+01,-3.81E-04,1.99E-06,5.82E-10,5.82E-10,1.99E-06,-3.81E-04,1.15E+01,
70,1.5,5,0.01,2.5,0.125,1.28E+01,-3.07E-03,3.49E-06,3.49E-06,-3.07E-03,1.28E+01,1.21E+01,8.06E-04,-1.35E-06,1.62E-09,1.62E-09,-1.35E-06,8.06E-04,1.21E+01,
70,1.5,5,0.01,3,0.15,1.28E+01,-2.68E-03,3.59E-06,3.59E-06,-2.68E-03,1.28E+01,1.23E+01,5.75E-05,1.68E-07,1.14E-09,1.14E-09,1.68E-07,5.75E-05,1.23E+01,
70,1.5,5,0.01,3.14,0.157,1.14E+01,8.52E-04,2.09E-06,2.09E-06,8.52E-04,1.14E+01,1.12E+01,1.85E-03,8.38E-07,4.19E-10,4.19E-10,8.38E-07,1.85E-03,1.12E+01,
70,1.5,5,0.1,2.5,1.25,1.20E+01,-2.08E-03,3.76E-06,3.76E-06,-2.08E-03,1.20E+01,1.18E+01,-7.15E-04,2.05E-06,5.69E-10,5.69E-10,2.05E-06,-7.15E-04,1.18E+01,
70,1.5,5,0.1,3,1.5,1.20E+01,-2.51E-03,3.87E-06,3.87E-06,-2.51E-03,1.20E+01,1.18E+01,-1.10E-03,2.10E-06,5.92E-10,5.92E-10,2.10E-06,-1.10E-03,1.18E+01,
70,1.5,5,0.1,3.14,1.57,1.25E+01,-1.98E-03,3.10E-06,3.10E-06,-1.98E-03,1.25E+01,1.19E+01,1.52E-03,-1.28E-06,1.46E-09,1.46E-09,-1.28E-06,1.52E-03,1.19E+01,
155,0.1,3,0.001,2.5,0.0075,7.33E+00,-5.99E-04,1.36E-06,1.36E-06,-5.99E-04,7.33E+00,7.19E+00,2.51E-04,3.00E-07,3.55E-10,3.55E-10,3.00E-07,2.51E-04,7.19E+00,
155,0.1,3,0.001,3,0.009,7.56E+00,-6.55E-04,1.25E-06,1.25E-06,-6.55E-04,7.56E+00,7.47E+00,-9.39E-05,5.48E-07,2.34E-10,2.34E-10,5.48E-07,-9.39E-05,7.47E+00,
155,0.1,3,0.001,3.14,0.00942,7.41E+00,-2.05E-05,1.00E-06,1.00E-06,-2.05E-05,7.41E+00,7.86E+00,-2.76E-03,4.43E-06,-1.14E-09,1.14E-09,4.43E-06,-2.76E-03,7.86E+00,
155,0.1,3,0.01,2.5,0.075,8.13E+00,-1.02E-03,1.39E-06,1.39E-06,-1.02E-03,8.13E+00,7.94E+00,8.40E-05,9.24E-09,4.59E-10,4.59E-10,9.24E-09,8.40E-05,7.94E+00,
155,0.1,3,0.01,3,0.09,7.42E+00,-1.02E-03,1.54E-06,1.54E-06,-1.02E-03,7.42E+00,7.24E+00,7.12E-05,1.67E-07,4.57E-10,4.57E-10,1.67E-07,7.12E-05,7.24E+00,
155,0.1,3,0.01,3.14,0.0942,7.48E+00,-1.11E-03,1.57E-06,1.57E-06,-1.11E-03,7.48E+00,7.44E+00,-8.91E-04,1.30E-06,8.98E-11,8.98E-11,1.30E-06,-8.91E-04,7.44E+00,
155,0.1,3,0.1,2.5,0.75,7.90E+00,-1.36E-03,1.41E-06,1.41E-06,-1.36E-03,7.90E+00,7.92E+00,-1.51E-03,1.60E-06,-6.40E-11,6.40E-11,1.60E-06,-1.51E-03,7.92E+00,
155,0.1,3,0.1,3,0.9,7.66E+00,-1.64E-03,1.93E-06,1.93E-06,-1.64E-03,7.66E+00,7.64E+00,-1.56E-03,1.83E-06,3.38E-11,3.38E-11,1.83E-06,-1.56E-03,7.64E+00,
